CP,Entidad,Municipio,Asentamiento,Ámbito
72016,Pue.,Puebla,Fracc. Villas San Gregorio,Urbano
72017,Pue.,Puebla,Fracc. Villas Diamante,Urbano
72020,Pue.,Puebla,Fracc. San Jerónimo,Urbano
72020,Pue.,Puebla,Fracc. Villas del Mesón I,Urbano
72020,Pue.,Puebla,Fracc. Villas del Mesón II,Urbano
72040,Pue.,Puebla,Fracc. Rincón Dorado,Urbano
72040,Pue.,Puebla,Fracc. Futura,Urbano
72044,Pue.,Puebla,Fracc. San Bernardo,Urbano
72050,Pue.,Puebla,Fracc. Unión,Urbano
72050,Pue.,Puebla,Fracc. Los Arcos,Urbano
72062,Pue.,Puebla,Fracc. Rancho Posadas,Urbano
72070,Pue.,Puebla,Fracc. Quetzalcoatl,Urbano
72070,Pue.,Puebla,Fracc. Rancho Colorado,Urbano
72080,Pue.,Puebla,Fracc. Real de San Antonio,Urbano
72100,Pue.,Puebla,Fracc. El Boscaje,Urbano
72100,Pue.,Puebla,Fracc. San Cristóbal Caleras (Tulcingo),Urbano
72100,Pue.,Puebla,Fracc. Del Valle,Urbano
72100,Pue.,Puebla,Fracc. Secc. Bugambilias (San Jerónimo Caleras),Urbano
72100,Pue.,Puebla,Fracc. Rinconada San Jerónimo Jazmín,Urbano
72100,Pue.,Puebla,Fracc. Campestre Covadonga,Urbano
72103,Pue.,Puebla,Fracc. El Riego Norte,Urbano
72103,Pue.,Puebla,Fracc. El Riego Norte,Urbano
72104,Pue.,Puebla,Fracc. Apetlachica,Urbano
72104,Pue.,Puebla,Fracc. Orquideas Residencial,Urbano
72110,Pue.,Puebla,Fracc. Arboledas de Moratilla,Urbano
72110,Pue.,Puebla,Fracc. Moratilla,Urbano
72114,Pue.,Puebla,Fracc. Los Cipreses,Urbano
72115,Pue.,Puebla,Fracc. Molino de Santo Domingo,Urbano
72115,Pue.,Puebla,Fracc. Campestre del Bosque,Urbano
72120,Pue.,Puebla,Fracc. Villas el Encanto II,Urbano
72130,Pue.,Puebla,Fracc. Jacarandas,Urbano
72130,Pue.,Puebla,Fracc. La Gloria I,Urbano
72130,Pue.,Puebla,Fracc. San Carlos,Urbano
72130,Pue.,Puebla,Fracc. La Gloria II,Urbano
72130,Pue.,Puebla,Fracc. Residencial Privanza,Urbano
72130,Pue.,Puebla,Fracc. Residencial los Álamos,Urbano
72130,Pue.,Puebla,Fracc. Los Laureles,Urbano
72150,Pue.,Puebla,Fracc. Villas los Viveros,Urbano
72150,Pue.,Puebla,Fracc. Rinconada Santa Cruz,Urbano
72150,Pue.,Puebla,Fracc. Residencial Ex-Hacienda de Zavaleta,Urbano
72150,Pue.,Puebla,Fracc. Villas Cruz del Sur,Urbano
72150,Pue.,Puebla,Fracc. Santa Cruz Buenavista,Urbano
72150,Pue.,Puebla,Fracc. Los Arrayanes,Urbano
72150,Pue.,Puebla,Fracc. Villas el Navarriego,Urbano
72154,Pue.,Puebla,Fracc. La Cuchilla,Urbano
72154,Pue.,Puebla,Fracc. Villa de Zavaleta,Urbano
72154,Pue.,Puebla,Fracc. San Bernardo,Urbano
72176,Pue.,Puebla,Fracc. San Marcos,Urbano
72176,Pue.,Puebla,Fracc. La Concepción,Urbano
72176,Pue.,Puebla,Fracc. Residencial la Escondida,Urbano
72176,Pue.,Puebla,Fracc. Fundadores de Zavaleta,Urbano
72176,Pue.,Puebla,Fracc. Villa Escondida,Urbano
72176,Pue.,Puebla,Fracc. Camino Real a Cholula,Urbano
72176,Pue.,Puebla,Fracc. Zona Residencial Anexa Estrellas del Sur,Urbano
72180,Pue.,Puebla,Fracc. Providencia las Ánimas,Urbano
72190,Pue.,Puebla,Fracc. Geovillas Atlixcayotl la Hacienda,Urbano
72190,Pue.,Puebla,Fracc. Estrella del Sur,Urbano
72190,Pue.,Puebla,Fracc. Las Sinfonías,Urbano
72193,Pue.,Puebla,Fracc. Rinconada Sur Oriente,Urbano
72195,Pue.,Puebla,Fracc. Jardines de San José,Urbano
72197,Pue.,Puebla,Fracc. Real de Zavaleta,Urbano
72197,Pue.,Puebla,Fracc. Geovillas Atlixcayotl,Urbano
72197,Pue.,Puebla,Fracc. Real de Zavaleta,Urbano
72200,Pue.,Puebla,Fracc. Villa Frontera,Urbano
72220,Pue.,Puebla,Fracc. Maravillas,Urbano
72228,Pue.,Puebla,Fracc. Torre Fuerte,Urbano
72229,Pue.,Puebla,Fracc. La Barranca,Urbano
72229,Pue.,Puebla,Fracc. Ampliación Bosques de Santa Anita,Urbano
72260,Pue.,Puebla,Fracc. Fauna Marina,Urbano
72310,Pue.,Puebla,Fracc. Real Campestre,Urbano
72310,Pue.,Puebla,Fracc. Hacienda los Capulines II,Urbano
72310,Pue.,Puebla,Fracc. Hacienda los Capulines I,Urbano
72310,Pue.,Puebla,Fracc. Conjunto Habitacional San Andrés,Urbano
72320,Pue.,Puebla,Fracc. Los Álamos,Urbano
72400,Pue.,Puebla,Fracc. Villa Magna,Urbano
72400,Pue.,Puebla,Fracc. Las Ánimas,Urbano
72403,Pue.,Puebla,Fracc. Villa Génesis,Urbano
72410,Pue.,Puebla,Fracc. Residencial la Encomienda de la Noria,Urbano
72424,Pue.,Puebla,Fracc. Alpha 2,Urbano
72440,Pue.,Puebla,Fracc. Girasol,Urbano
72440,Pue.,Puebla,Fracc. Villa Encantada,Urbano
72450,Pue.,Puebla,Fracc. Villas Everest,Urbano
72450,Pue.,Puebla,Fracc. Kepler,Urbano
72453,Pue.,Puebla,Fracc. Cortijo Angelopolis,Urbano
72453,Pue.,Puebla,Fracc. Bosques de Angelopolis,Urbano
72453,Pue.,Puebla,Fracc. Fuentes de Angelopolis,Urbano
72453,Pue.,Puebla,Fracc. Mayorazgo,Urbano
72456,Pue.,Puebla,Fracc. Everest,Urbano
72460,Pue.,Puebla,Fracc. Club de Golf,Urbano
72464,Pue.,Puebla,Fracc. Vanguardia Magisterial,Urbano
72464,Pue.,Puebla,Fracc. INFONAVIT Mateo de Regil Rodríguez,Urbano
72464,Pue.,Puebla,Fracc. El Saucedal,Urbano
72470,Pue.,Puebla,Fracc. Eleganza,Urbano
72470,Pue.,Puebla,Fracc. INFONAVIT Xaxalpa,Urbano
72470,Pue.,Puebla,Fracc. San Jorge,Urbano
72474,Pue.,Puebla,Fracc. Rancho Chapulco,Urbano
72480,Pue.,Puebla,Fracc. Ex-Hacienda Mayorazgo,Urbano
72480,Pue.,Puebla,Fracc. Geovillas las Garzas,Urbano
72480,Pue.,Puebla,Fracc. Cipreses de Mayorazgo,Urbano
72480,Pue.,Puebla,Fracc. Villas Monarcas,Urbano
72480,Pue.,Puebla,Fracc. Galaxia la Laguna,Urbano
72483,Pue.,Puebla,Fracc. Tres Cerritos,Urbano
72490,Pue.,Puebla,Fracc. Regina,Urbano
72490,Pue.,Puebla,Fracc. Marbella,Urbano
72490,Pue.,Puebla,Fracc. Rincón de los Cipreses,Urbano
72490,Pue.,Puebla,Fracc. Los Limones,Urbano
72490,Pue.,Puebla,Fracc. Villas del Sol,Urbano
72490,Pue.,Puebla,Fracc. Villas San Antonio IV,Urbano
72490,Pue.,Puebla,Fracc. Villas Diamante II,Urbano
72490,Pue.,Puebla,Fracc. Marbella,Urbano
72494,Pue.,Puebla,Fracc. Hacienda San José II,Urbano
72494,Pue.,Puebla,Fracc. Ex-Hacienda Chapulco,Urbano
72494,Pue.,Puebla,Fracc. San Alfonso,Urbano
72494,Pue.,Puebla,Fracc. Los Héroes de Puebla II,Urbano
72495,Pue.,Puebla,Fracc. Villas del Refugio,Urbano
72495,Pue.,Puebla,Fracc. Geovillas del Sur,Urbano
72495,Pue.,Puebla,Fracc. Geovillas del Sur,Urbano
72497,Pue.,Puebla,Fracc. Paseos del Lago,Urbano
72498,Pue.,Puebla,Fracc. Hacienda San Diego,Urbano
72498,Pue.,Puebla,Fracc. Hacienda San Diego 2,Urbano
72498,Pue.,Puebla,Fracc. Prados del Sur,Urbano
72498,Pue.,Puebla,Fracc. San Isidro Castillotla,Urbano
72498,Pue.,Puebla,Fracc. Galaxia Castillotla,Urbano
72498,Pue.,Puebla,Fracc. San Carlos Castillotla,Urbano
72498,Pue.,Puebla,Fracc. Federación Cetemista,Urbano
72498,Pue.,Puebla,Fracc. Hacienda San Diego,Urbano
72498,Pue.,Puebla,Fracc. Federación Cetemista,Urbano
72498,Pue.,Puebla,Fracc. Hacienda San Diego 2,Urbano
72498,Pue.,Puebla,Fracc. Los Reyes,Urbano
72499,Pue.,Puebla,Fracc. Cabañas del Lago,Urbano
72520,Pue.,Puebla,Fracc. Jardines de la Joya,Urbano
72520,Pue.,Puebla,Fracc. Quintas del Bosque,Urbano
72523,Pue.,Puebla,Fracc. Lomas del Pedregal,Urbano
72530,Pue.,Puebla,Fracc. El Mirador,Urbano
72530,Pue.,Puebla,Fracc. Anzures,Urbano
72532,Pue.,Puebla,Fracc. María Luisa,Urbano
72550,Pue.,Puebla,Fracc. FOVISSSTE Damisar (San Baltazar Campeche),Urbano
72564,Pue.,Puebla,Fracc. Los Soles,Urbano
72564,Pue.,Puebla,Fracc. Jardines de la Montaña,Urbano
72574,Pue.,Puebla,Fracc. Jardines de Saint Germain,Urbano
72580,Pue.,Puebla,Fracc. San Ezequiel,Urbano
72583,Pue.,Puebla,Fracc. San Juan Xilotzingo,Urbano
72583,Pue.,Puebla,Fracc. Alcanfores,Urbano
72583,Pue.,Puebla,Fracc. Santa Sara,Urbano
72583,Pue.,Puebla,Fracc. San Luis,Urbano
72583,Pue.,Puebla,Fracc. San Gabriel,Urbano
72583,Pue.,Puebla,Fracc. Santa Elena,Urbano
72583,Pue.,Puebla,Fracc. Residencial Jheshed,Urbano
72583,Pue.,Puebla,Fracc. San Rafael Xilotzingo,Urbano
72583,Pue.,Puebla,Fracc. Jardines de Santiago,Urbano
72583,Pue.,Puebla,Fracc. Los Faisanes,Urbano
72583,Pue.,Puebla,Fracc. Rancho San José Xilotzingo,Urbano
72590,Pue.,Puebla,Fracc. Los Héroes de Puebla,Urbano
72590,Pue.,Puebla,Fracc. San José Carpintero,Urbano
72590,Pue.,Puebla,Fracc. Universitaria,Urbano
72593,Pue.,Puebla,Fracc. Geovillas Los Encinos,Urbano
72593,Pue.,Puebla,Fracc. INFONAVIT San José Xilotzingo,Urbano
72593,Pue.,Puebla,Fracc. S.A.R.H. Xilotzingo,Urbano
72595,Pue.,Puebla,Fracc. Lomas del Valle,Urbano
72595,Pue.,Puebla,Fracc. San Francisco Totimehuacan,Urbano
72595,Pue.,Puebla,Fracc. Camino Real,Urbano
72595,Pue.,Puebla,Fracc. Galaxia la Calera,Urbano
72596,Pue.,Puebla,Fracc. Progresivo Lomas de Santa Cruz Mix,Urbano
72596,Pue.,Puebla,Fracc. Calderón (Crucero el Oásis),Urbano
72596,Pue.,Puebla,Fracc. San Antonio Arenillas,Urbano
72596,Pue.,Puebla,Fracc. Lomas de Galicia Sección Jardines de Monserra,Urbano
72596,Pue.,Puebla,Fracc. El Caballo,Urbano
72596,Pue.,Puebla,Fracc. Guadalupe 2000,Urbano
72597,Pue.,Puebla,Fracc. Bosques de Chapultepec,Urbano
